1	В Бурятии продолжают гореть леса	"В Бурятии продолжают гореть леса. На 19 октября в регионе продолжает действовать 2 очага площадью 6 га, сообщили в &quot;Авиалесоохрана&quot;. Кроме Бурятии леса по-прежнему горят в Тыве, Еврейской области, Забайкалье."
2	Около брянской деревни Кожаны обводняют радиационные торфяники	Запружены два обводных канала, сооружена дамба, которая, по расчету специалистов, послужит тому, чтобы залить водой торфяники. Как бы ни утверждали сотрудники Роспотребнадзора, что радиационный фон не поднялся, однако даже они не могут отрицать, что горят чернобыльские торфяники.
1	В Сибири действует один лесной пожар на площади 145 гектаров - ИТАР-ТАСС	 НОВОСИБИРСК, 20 октября. /ТАСС/. На утро понедельник в Сибирском федеральном округе (СФО) зафиксирован всего один  лесной пожар  - в Республике Тыва горит 145 гектаров леса, сообщили в пресс-служба Департамента лесного хозяйства по СФО. За прошедшие сутки на землях ... 
1	В Сибири действует один лесной пожар на площади 145 гектаров	Всего с начала пожароопасного сезона 2014 года в СФО было зарегистрировано 8 тыс. 330 лесных пожаров на площади более 1,8 млн гектаров. Особый противопожарный режим введен на территории одного района Республики Тыва и в двух районах Республики Бурятия.
3	В Пермь прибыла комиссия Приволжского регионального центра МЧС России	Сегодня, 20 сентября, в большом зале заседаний Правительства Пермского края прошло совещание по проведению комиссией ПРЦ МЧС России проверки реализации органами исполнительной власти Пермского края полномочий в области пожарной безопасности, гражданской обороны, защиты населения и территорий от чрезвычайных ситуаций.
4	В Перми митинг в защиту Черняевского леса собрал около 400 человек	Сегодня в Перми состоялся митинг противников переноса зоопарка в Черняевский лес. По оценкам организаторов митинг посетили порядка 500 человек. По другим оценкам - количество участников этого мероприятия было около 300 пермяков.
4	За лесными угодьями Челябинской области будут следить из космоса	Проект предусматривает создание комплексной системы мониторинга лесных массивов. Первоначально он будет реализован на базе Шершневского лесничества. В дальнейшем подобные системы могут быть внедрены в других лесничествах Челябинской области и регионах страны.
4	В «Покровском-Стрешневе» построят веревочный парк	"В скором времени в парке &quot;Покровское-Стрешнево&quot; на северо-западе столицы может появиться веревочный парк известной британской компании Go Ape. Такое решение принял на очередном заседании Совет депутатов муниципального округа Покровское-Стрешнево."
2	Пожарные потушили девять очагов горения торфа в Усольском районе	Смог, от торфяных пожаров, который в течение нескольких последних недель отравлял жизнь горожанам, рассеивается. В Иркутском районе неподалеку от поселка Дзержинск полностью потушен один из очагов. А рядом с деревней Бурдаковка огнеборцы опахали по периметру болото, на котором горит торф.
4	Акция против застройки Черняевского леса собрала около 500 человек	Сегодня в Перми состоялся митинг противников переноса зоопарка в Черняевский лес. По оценкам организаторов митинг посетили порядка 500 человек. По другим оценкам - количество участников этого мероприятия было около 300 пермяков.
2	Режим ЧС сняли в лесах Бурятии сегодня, 20 октября	Режим чрезвычайной ситуации, введенный в связи с лесными пожарами, сняли в лесах Бурятии сегодня, 20 октября. Соответствующий указ подписал глава региона Вячеслав Наговицын. Режим ЧС действовал с 20 августа, сообщает ИА UlanMedia со ссылкой на пресс-службу правительства Бурятии.
4	За лесами Челябинской области будут следить из космоса	Проект будет реализован на базе Шершневского лесничества и позволит по его завершении запланировать внедрение подобных систем в Челябинской области и других регионах страны. Для организации регулярного мониторинга объектов лесного хозяйства будут использоваться данные со спутников.
0	Лесной пожар вспыхнул в Туве. Горят 145 гектаров	На утро понедельника, 20 октября, в Сибири действует один лесной пожар на площади 145 гектаров. Как сообщает пресс-служба департамента Рослесхоза по СФО, лес горит на территории Тувы.
4	200 иркутян стали участниками субботника на Синюшиной горе	Самыми активными участниками субботника были ученики иркутских школ № 2 и № 28, интерната № 12 и члены территориального совета ветеранов. Роща на Синюшиной горе считается популярным местом отдыха, и оборотной стороной этого становится постоянно оставляемый иркутянами в ней мусор.
1	В Туве действует лесной пожар площадью в 145 гектаров	В Туве сохраняется пожароопасная ситуация. Особый режим введен на территории 1-го района республики Тыва, режим ЧС - в 2-х районах. По данным пресс-службы департамента лесного хозяйства по СФО, на утро 20 октября в Туве зарегистрировали единственный лесной пожар на площади 145 гектаров.
2	В Бурятии снят режим ЧС, действовавший два месяца из-за лесных пожаров	Действовавший в Бурятии из-за лесных пожаров режим ЧС снят в понедельник указом главы республики. Как сообщили в пресс-службе региональной администрации, такое решение принято в связи со стабилизацией лесопожарной обстановки.
3	На небо надейся, а сам не плошай - vBryanske.com	 Ликвидация  торфяных пожаров  на территории Брянской области до сих пор находится на особом контроле МЧС. За вчерашний день спецслужбы обводнили торфяники, устроили запрудные дамбы на реке Вихолка в Гордеевском районе. По мнению специалистов, это значительно ... 
4	В северной Осетии будет холодно	На территории Республики Северная Осетия- Алания 20 октября ожидается следующая обстановка: Метеорологическая: Облачная с прояснениями погода, местами небольшой умеренный дождь, в горах со снегом.
4	В районе Синюхи в Курьинском районе пропали два человека	На поиски выдвинулись силы и средства 16 ОФПС по Алтайскому краю, отдельного поста 70 ПЧ 16 ОФПС по Алтайскому краю, Западно-Сибирского ПСО. Всего задействовано: 55 человек, 19 ед. техники, из них от МЧС России 12 человек, 3 ед. техники, сообщает ЦУКС СРЦ МЧС России.
0	Жители Москвы вновь сообщают о запахе гари	Запах гари почувствовали жители востока и юга столицы. В МЧС сообщили, что причиной стало плановое сжигание древесных отходов после вырубки в подмосковных лесохозяйствах.
1	В Киевской области до сих пор продолжается ликвидация пожара торфяных залежей - ПрессОРГ24 - Новости Украины	" ""Мы делаем все возможное, чтобы в кратчайшие сроки ликвидировать пожары на торфяных залеганиях. На территории области продолжается тушение  торфяных пожаров  на площади более 10 га. По состоянию на минувшие сутки спасателями ликвидированы горения торфов на ... "
3	Запах гари в Москве начался с поджогов травы в Брянской области	Напомним, 10 октября в столице уже произошел подобный случай - москвичи сообщали о запахе гари, распространившемся по всей территории города. Тогда специалисты сообщили, что дым пришел в Москву из Брянской области, где горели торфяники.
3	МЧС объяснило информацию о запахе гари в Москве взломом твиттера	"Превышения оксида углерода в столичном воздухе утром в понедельник не зафиксировано, информация о сильном загрязнении воздуха в Москве появилась в твиттере МЧС по ЦАО столицы, предположительно, после его взлома, сообщили &quot;Интерфаксу&quot; в пресс-службе московского ГУ МЧС."
4	В Сочи спасатели дважды за выходные эвакуировали людей из реки	В минувшие выходные в связи с непогодой, вызванной сильными дождями, спасатели ЮРПСО МЧС России дважды выезжали для оказания помощи отдыхавшим в лесу сочинцам.
1	В Киевской области продолжают гореть торфяники	В Киевской области спасатели продолжают тушить торфяники, сообщает пресс-служба Главного управления Государственной службы Украины (ГосЧС) в области. Согласно сообщению, по состоянию на утро понедельник, 20 октября, торфяники тушат в Ирпенской зоне недалеко от пгт Гостомель на площади 3,5 га.
4	В Мурманской области бесхозяйные постройки на территории лесного фонда поставят на учет	В Мурманской области вынесено судебное решение, обязывающее администрацию муниципального образования поставить на учет в территориальном отделе Управления Росреестра по Мурманской области бесхозяйное недвижимое имущество на территории лесного фонда.
4	В Сочи из застрявших на реке автомобилей эвакуировали людей	Первый вызов поступил дежурному ЮРПСО в ночь с 17 на 18 октября. Ему сообщили, что переезжая реку Кудепста, автомобиль заглох и застрял посередине реки. Прибыв на место, спасатели при помощи альпснаряжения эвакуировали из автомобиля двух мужчин. Медицинская помощь им не потребовалась.
4	В районе горы Синюхи Алтайского края пропали два человека	Сибирский региональный центр МЧС России сообщает, что два человека ушли в лес недалеко от поселка 8 Марта, в районе горы Синюхи, и до сих пор не вернулись. В поисковых работах задействовано всего 55 человек, как добровольцев, так и спасателей, а также 19 единиц техники.
4	В районе горы Синюха на Алтае идут поиски пропавших людей	"В Курьинском районе спасатели сегодня начали поиски 2 людей, пропавших в районе горы Синюха, сообщает &quot;Банфакс&quot; с ссылкой на пресс-центр Сибирского регионального центра МЧС России."
1	В Киевской области горят торфяники	На пожарах задействовано 7 единиц пожарно-спасательной техники, 8 мотопомп и более 50 человек личного состава. Как сообщали Українські новини, по состоянию на 11 октября на территории Киевской области было выявлено 4 очага возгорания торфяных залежей общей площадью более 20 га.
4	Сильные дожди в Сочи не остановили любителей пересекать горные реки	В ночь с пятницы на субботу в 23:25 оперативному дежурному ЮРПСО МЧС поступило сообщение о том, что посередине реки Кудепсты застрял, пересекавший ее автомобиль. Двум молодым людям, находившимся в машине, потребовалась помощь спасателей.
4	На выходных в Сочи две машины застряли при пересечении рек вброд	При пересечении реки вброд, машина заглохла, а пассажиры оказались заблокированы в ней. Спасатели выехали на место и при помощи альпснаряжения эвакуировали из автомобиля двух мужчин - 1989 и 1992 г.р. К счастью, медицинская помощь им не понадобилась.
0	В Москву 20 октября вернулся запах гари	Утром в понедельник во многих районах столицы снова появился уже знакомый москвичам неприятный запах гари. Запах гари вернулся в Москву, несмотря на изменение характера погоды, а также на участившиеся осадки и холод. Запах гари появился в Москве 10 октября.
4	В Алтайском крае в районе горы Синюхи пропали два человека	К поискам привлечены 55 человек и 19 единиц техники. Из них 3 единицы техники и 12 человек – от МЧС России. Гора Синюха (1210 метров) находится в Курьинском районе на юге Алтайского края.
1	Пожарные тушат торфяники на площади более 10 га в Киевской области - РИА Новости	" Как сообщил начальник главного управления ГСЧС в Киевской области Владимир Бондаренко, делается все возможное для ликвидации пожара в короткие сроки. ""На территории области продолжается тушение  торфяных пожаров  на площади более 10 га. По состоянию на минувшие ... "
3	Запах гари пришел в Москву из Белоруссии — экомониторинг	По данным экомониторинга, запах гари, на которой жаловались столичные жители, пришел в Москву из Белоруссии и с юго-запада Брянской области. Специалисты не обнаружили очагов возгорания в московском регионе, сообщает пресс-служба департамента природопользования и охраны окружающей среды.
3	ГУ МЧС опровергло информацию о запахе гари в Москве	"Превышения оксида углерода в столичном воздухе утром в понедельник не зафиксировано, информация о сильном загрязнении воздуха в Москве появилась в твиттере МЧС по ЦАО столицы, предположительно, после его взлома, сообщили &quot;Интерфаксу&quot; в пресс-службе московского ГУ МЧС."
3	МЧС объясняет слухи о возвращении запаха гари взломом Twitter	МЧС поспешило прокомментировать распространившуюся в прессе информацию о якобы вернувшемся в Москву запахе гари. Как отмечает пресс-служба столичного ГУ МЧС, сообщение о смоге в Москве появилось на Твиттер-страничке МЧС по ЦАО и затем оно распространилось в СМИ.
1	В Брянской области осталось потушить один торфяной пожар - Аргументы и Факты - Брянск	 Брянск, 20 октября, АиФ Брянск. Работы по тушению лесных и  торфяных пожаров  в Брянской области подходят к концу, ситуация стабилизируется, сообщает пресс-служба ГУ МЧС по Брянской области. Утром 20 октября в Гордеевском районе оставался один пожар, на территории ... 
4	В Керчи руководитель АЗС уничтожил часть лесополосы	Автозаправочная станция находится под Керчью у трассы Симферополь-Керчь. Для её реконструкции руководитель АЗС посчитал возможным уничтожение деревьев, относящихся к защитной полосе. Среди них были восемь деревьев ясеня и акации.
4	В Магаданской области загорелся детский дом	Накануне в поселке Ола Ольского района Магаданской области загорелся детский дом на улице Лесной. Прибывшие на место происшествия полицейские вместе с воспитателями учреждения в считанные минуты вывели детей на улицу, а прибывший пожарный расчет ликвидировал возгорание.
3	МЧС объяснило появление данных о запахе гари в Москве взломом Twitter	Пресс-служба разбирается с причинами произошедшего. Пользователи Twitter тем временем продолжают жаловаться на запах гари в районе станций метро «Сокол», «ВДНХ», «Коньково», «Университет».
3	Дымка в Москве рассеется в ближайшие дни	Дымка от торфяных пожаров в Брянской области в столице рассеется в ближайшие несколько дней. Об этом сообщает Гидрометцентр РФ. Метеослужба выполнила расчеты распространения дыма из 2 очагов торфяных пожаров, произошедших на западе Брянской области 19 октября.
3	Брянская полиция принимает меры по профилактике лесных пожаров	Для профилактики пожаров брянская полиция принимает все необходимые меры. Стражи порядка задействовали дополнительные силы для работы в лесных массивах.
4	Кыргызстан не будет разрабатывать климатическое оружие	Таковы требования Конвенции, к которой намерена присоединиться КР Комитет ЖК по аграрной политике, водным ресурсам, экологии и региональному развитию на сегодняшнем заседании одобрил присоединение Кыргызстана к Конвенции о запрещении военного или любого иного враждебного использования средств воздействия на природную среду, подписанной 10 декабря 1976 года в Женеве.
4	Якутская опера привезет в Новосибирск лучших солистов	Перед представителями различных организаций выступил начальник штаба гражданской обороны Якутской ГРЭС Сергей Варваричев. Он рассказал присутствующим о назначении данного защитного сооружения, алгоритме действий персонала ЯГРЭС при возникновении чрезвычайных ситуаций.
4	Обнародовано число чрезвычайных ситуаций в Азербайджане	Министерство по чрезвычайным ситуациям (МЧС) обнародовало статистику чрезвычайных ситуаций, произошедших в Азербайджане за 9 месяцев 2014 года .Об этом передает Day.Az со ссылкой на АПА.
4	В Ялтинском заповеднике незаконно вырубили десятки деревьев	В Ялтинском горно-лесном природном заповеднике были незаконно вырублены деревья. Об этом сообщает пресс-служба прокуратуры Крыма. Установлено, что в отсутствие разрешительной документации на территории заповедника были вырублены более 40 деревьев пород клен полевой, дуб пушистый и тополь белый.
4	Павел Терешкович. ОБРАЗОВАНИЕ. Уроки Финляндии	К началу 1960-х образовательный уровень населения Финляндии, по свидетельству финских эдукологов, был не выше чем в Малайзии или Перу. Не более 10% финнов заканчивали 9-летнюю среднюю школу.
4	В Волгоградской области определили лучших грибников	Организатором турнира выступило министерство природных ресурсов и экологии Волгоградской области. Пальму первенства оспаривали более тридцати любителей «тихой охоты».
1	Продолжается пожар на торфяниках в Киевской области	В области продолжается тушение торфяных пожаров на площади около 10 га. За сутки пожарным удалось ликвидировать горение на территории в 5 га. В работе по ликвидации чрезвычайного происшествия задействовано более 50 человек, 7 единиц специальной пожарно-спасательной техники и 8 мотопомп.
0	МЧС: В Москве может появиться запах гари	По Москве в ближайшее время вновь может распространиться запах гари, сообщает ТАСС. В управлении МЧС по Подмосковью заявили, что в регионе снова начали сжигать остатки сухостоя, пораженного жуком-короедом.
1	В Брянской области ликвидируют последний очаг возгорания торфяников	Ликвидацию последнего очага возгорания торфяника на юго-западе Брянской области ведут сотрудники сводного отряда МЧС. Дымка от пожаров в Москве должна рассеяться в ближайшие дни, сообщает Гидрометцентр РФ.
1	В Брянской области осталось потушить один торфяной пожар	Работы по тушению лесных и торфяных пожаров в Брянской области подходят к концу, ситуация стабилизируется, сообщает пресс-служба ГУ МЧС по Брянской области. Утром 20 октября в Гордеевском районе оставался один пожар, на территории Гордеевского района в деревне Кожаны.
3	Запах гари в Москве рассеется в ближайшие дни	Запах гари в столице, который москвичи вновь почувствовали в понедельник, рассеется в ближайшее время. Концентрация вредных примесей в Москве сейчас не превышает нормы. В некоторых районах города москвичи вновь почувствовали запах гари.
